round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.1006,2.310541079711914,8.450000314041972e-05,5.62174930004403,41.40682230005041,1.497513499984052,0.001920500013511628,0.07825100002810359,51.06224200001452,2.2970869055554632,20,2,18,14597136,3243808,810952,18651896,28.629275067519092,True,0.0,16
1,0.1006,2.310541079711914,9.900005534291267e-05,5.546491899993271,42.18240720004542,1.5042144999606535,0.0024914999958127737,0.004794900014530867,51.702496299985796,2.3402396833343015,20,2,18,14597136,3243808,810952,18651896,28.49487906342051,True,0.0,16
2,0.1006,2.310541079711914,9.689998114481568e-05,5.547250600007828,42.02334419998806,1.4091513000312261,0.00246379995951429,0.00502260000212118,51.4863275999669,2.3314313555504973,20,2,18,14597136,3243808,810952,18651896,29.32716394475316,True,0.0,16
3,0.1006,2.310541079711914,0.00010790000669658184,5.507164999959059,44.16058929997962,1.4469921999843791,0.0025787000195123255,0.003959900001063943,53.617014300019946,2.449959022225812,20,2,18,14597136,3243808,810952,18651896,29.97256467976882,True,0.0,16
4,0.1006,2.310541079711914,0.00011230004020035267,5.4559114999719895,42.03546490002191,1.5570776999811642,0.0029377000173553824,0.004461700038518757,51.68513180001173,2.3320622499935175,20,2,18,14597136,3243808,810952,18651896,28.92478815975129,True,0.0,16
5,0.1006,2.310541079711914,9.430001955479383e-05,5.4612500999937765,40.57685199996922,1.5722517999820411,0.002452299988362938,0.004783499985933304,50.15838239999721,2.250924566670114,20,2,18,14597136,3243808,810952,18651896,28.401445438367034,True,0.0,16
6,0.1006,2.310541079711914,0.0001297999988310039,5.496056700008921,42.30492249998497,1.4791310000000522,0.002299099985975772,0.004597900027874857,51.88525489997119,2.347072433334284,20,2,18,14597136,3243808,810952,18651896,28.66160558325032,True,0.0,16
7,0.1006,2.310541079711914,9.950000094249845e-05,5.549566900008358,42.37901169998804,1.5369150000042282,0.0023518999805673957,0.004679400008171797,51.951451000000816,2.351231627770984,20,2,18,14597136,3243808,810952,18651896,28.867363465892982,True,0.0,16
8,0.1006,2.310541079711914,0.00010659999679774046,5.558344799967017,39.575961099995766,1.4903676999965683,0.0024914999958127737,0.004329699964728206,49.1038199000177,2.1955337555522823,20,2,18,14597136,3243808,810952,18651896,28.10474725312171,True,0.0,16
9,0.1006,2.310541079711914,0.00010760000441223383,5.620036299980711,41.19052980002016,1.3915662000072189,0.002467899990733713,0.003930000006221235,50.67475259996718,2.285170700006549,20,2,18,14597136,3243808,810952,18651896,28.375479232166512,True,0.0,16
10,0.1006,2.310541079711914,9.190000128000975e-05,5.444996999984141,41.549468000011984,1.3723752000369132,0.0022885000216774642,0.004112800001166761,50.854512299993075,2.305081483335622,20,2,18,14597136,3243808,810952,18651896,28.922754887092932,True,0.0,16
11,0.1006,2.310541079711914,8.949998300522566e-05,5.487620800035074,40.83911110000918,1.401973599975463,0.0024936000118032098,0.004727200022898614,50.19621309998911,2.265545105548679,20,2,18,14597136,3243808,810952,18651896,28.491198958596236,True,0.0,16
12,0.1006,2.310541079711914,0.00011449999874457717,5.502913300006185,40.98754190001637,1.5376457999809645,0.002393700007814914,0.004745400045067072,50.487576099985745,2.273921966662682,20,2,18,14597136,3243808,810952,18651896,29.34943470872486,True,0.0,16
13,0.1006,2.310541079711914,8.869997691363096e-05,5.511835400015116,42.12683339999057,1.3782907000277191,0.002702699974179268,0.004247199976816773,51.49660260003293,2.337120205548773,20,2,18,14597136,3243808,810952,18651896,28.802848655807065,True,0.0,16
14,0.1006,2.310541079711914,0.00011019996600225568,5.667708199995104,41.07855149998795,1.483345200016629,0.002483299991581589,0.004982600046787411,50.810802199994214,2.278856327786343,20,2,18,14597136,3243808,810952,18651896,28.96019843408426,True,0.0,16
