round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.0911,2.3024323432922364,8.590001380071044e-05,5.323100800043903,38.9898983000312,1.4018350000260398,0.0018779999809339643,0.3104923000209965,48.30542180000339,2.163064277785856,20,2,18,14597136,3243808,810952,18651896,32.95773213755461,True,0.0,128
1,0.0911,2.3024323432922364,9.74999857135117e-05,5.076150199980475,40.798552299966104,1.3971293000504375,0.002343400032259524,0.011352299945428967,49.5417640999658,2.2633310111123137,20,2,18,14597136,3243808,810952,18651896,33.02796008376351,True,0.0,128
2,0.0911,2.3024323432922364,9.609997505322099e-05,5.115758100000676,40.26326670002891,1.2990857000113465,0.002332200005184859,0.011648199986666441,48.94425920001231,2.233739933328858,20,2,18,14597136,3243808,810952,18651896,33.93641334418263,True,0.0,128
3,0.0911,2.3024323432922364,0.00011719996109604836,5.069345900032204,41.784053900046274,1.2840043000178412,0.0023361999774351716,0.0111952000297606,50.39130540000042,2.318193800000396,20,2,18,14597136,3243808,810952,18651896,34.53742009552942,True,0.0,128
4,0.0911,2.3024323432922364,0.00010310002835467458,5.169004399969708,40.150519700022414,1.4060024000355043,0.002292899996973574,0.010896400024648756,48.951565900002606,2.2274486555543263,20,2,18,14597136,3243808,810952,18651896,33.47097863892287,True,0.0,128
5,0.0911,2.3024323432922364,8.149998029693961e-05,5.116438299999572,38.837120299984235,1.3593503999873064,0.0024335000198334455,0.010287799988873303,47.578858499997295,2.154454994439018,20,2,18,14597136,3243808,810952,18651896,33.018688361676716,True,0.0,128
6,0.0911,2.3024323432922364,0.00011229998199269176,5.189718800014816,39.77734490000876,1.293560600024648,0.0024152000551111996,0.010894800012465566,48.51252759998897,2.2066519277739443,20,2,18,14597136,3243808,810952,18651896,33.220895613737,True,0.0,128
7,0.0911,2.3024323432922364,9.379995753988624e-05,5.098310000030324,52.281243000004906,1.6909812000230886,0.002924600034020841,0.011632999987341464,62.08726639999077,2.901036955558488,20,2,18,14597136,3243808,810952,18651896,33.15133512790457,True,0.0,128
8,0.0911,2.3024323432922364,0.00011120003182440996,6.4312497999635525,45.2713765000226,1.5330792000168003,0.002431600005365908,0.012019399960990995,55.80622059997404,2.511695288888101,20,2,18,14597136,3243808,810952,18651896,32.32065002171423,True,0.0,128
9,0.0911,2.3024323432922364,0.00010310002835467458,5.572274199977983,45.726054699975066,1.369902899954468,0.002494300017133355,0.012041500012855977,55.21920150000369,2.536982705557926,20,2,18,14597136,3243808,810952,18651896,32.551942176475556,True,0.0,128
10,0.0911,2.3024323432922364,0.00011520000407472253,5.3725621000048704,47.253711299970746,1.5126195000484586,0.0024711000151000917,0.01217729999916628,56.785063999996055,2.6217525777756236,20,2,18,14597136,3243808,810952,18651896,32.911424461910435,True,0.0,128
11,0.0911,2.3024323432922364,0.00011259998427703977,5.800822300021537,46.35987490002299,1.457607900025323,0.002513199986424297,0.015649800014216453,56.20119880000129,2.5721889444458714,20,2,18,14597136,3243808,810952,18651896,32.671694089703486,True,0.0,128
12,0.0911,2.3024323432922364,0.00013290002243593335,5.755456899991259,114.46484069997678,6.435464799986221,0.009585699997842312,0.01802540000062436,136.15639389998978,6.351295538877214,20,2,18,14597136,3243808,810952,18651896,33.021874176212975,True,0.0,128
13,0.0911,2.3024323432922364,0.0002541000139899552,24.867144100018777,178.60986329999287,5.732859199983068,0.008462800004053861,0.03147780004655942,219.03633909998462,9.911860833342265,20,2,18,14597136,3243808,810952,18651896,33.07110506466018,True,0.0,128
14,0.0911,2.3024323432922364,0.0002361999941058457,25.019372300012037,133.11314680002397,2.2248228000244126,0.0035736000281758606,0.012901100039016455,163.41463449998992,7.386564872243778,20,2,18,14597136,3243808,810952,18651896,33.2772858952184,True,0.0,128
