round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.1144,7.68941273803711,8.709996473044157e-05,5.552077000029385,41.003903400036506,1.4818435999914072,0.001969000033568591,0.008351099968422204,50.50982929999009,2.274815422220854,20,2,18,14597136,3243808,810952,18651896,32.950298499000645,True,1.0,0
1,0.2874,5.564741999816895,0.00010590004967525601,5.503116200037766,41.206355199974496,1.4335715000052005,0.0023843999952077866,0.0064833000069484115,50.5842638000031,2.2860962055468312,20,2,18,14597136,3243808,810952,18651896,21.341900907338598,True,1.0,0
2,0.4995,3.729552322769165,0.00010920001659542322,5.519940399972256,41.547934300033376,1.3483581999898888,0.0023603999870829284,0.00875019998056814,50.84378990001278,2.3050186444274408,20,2,18,14597136,3243808,810952,18651896,19.298138234200593,True,1.0,0
3,0.4626,4.311387710952759,0.00010639999527484179,5.485319699975662,43.33772950002458,1.4038198000052944,0.0024435999803245068,0.007462899957317859,52.66266440000618,2.4044902499978584,20,2,18,14597136,3243808,810952,18651896,18.93222696732601,True,1.0,0
4,0.5542,3.188182452392578,0.00012069998774677515,5.502940900041722,41.14646720001474,1.4949566000141203,0.002444499987177551,0.007196600025054067,50.68278269999428,2.2826564833360155,20,2,18,14597136,3243808,810952,18651896,19.050254876593588,True,1.0,0
5,0.4085,10.17407547454834,0.0001018000184558332,5.494369299965911,39.996831300028134,1.4908920000307262,0.0027872000355273485,0.008534699969459325,49.47884749999503,2.2185151277646784,20,2,18,14597136,3243808,810952,18651896,17.241542097858133,True,1.0,0
6,0.6082,4.699065000534057,9.419996058568358e-05,5.621426400030032,41.32358759996714,1.3848466000054032,0.002611400035675615,0.007110699953045696,50.761306300002616,2.292541316674841,20,2,18,14597136,3243808,810952,18651896,19.290119512751183,True,1.0,0
7,0.4293,8.9708032623291,0.00010559998918324709,5.458952799963299,41.237610700016376,1.5003890999942087,0.002383299986831844,0.0074136999901384115,50.60910060000606,2.28771726665501,20,2,18,14597136,3243808,810952,18651896,17.760675644918084,True,1.0,0
8,0.5373,5.5711380485534665,9.659997886046767e-05,5.506979199999478,38.88592670002254,1.503228300018236,0.0024621000047773123,0.007540500024333596,48.33294319995912,2.1571134944420516,20,2,18,14597136,3243808,810952,18651896,17.9157433424265,True,1.0,0
9,0.6386,5.6699908782958985,8.93000396899879e-05,5.486337099981029,39.59873939998215,1.3848505999776535,0.0025452999980188906,0.010039200016763061,48.89007129997481,2.1967263666673613,20,2,18,14597136,3243808,810952,18651896,17.539448245564316,True,1.0,0
10,0.6342,4.213977052688598,0.00010679999832063913,5.455894600017928,40.81296509999083,1.3795365000260063,0.0024025000166147947,0.0078029000433161855,50.070662299986,2.2641052777730186,20,2,18,14597136,3243808,810952,18651896,17.454812711582466,True,1.0,0
11,0.5858,6.7109051589965825,9.629997657611966e-05,5.58339350001188,40.218186200014316,1.379689400026109,0.002654000010807067,0.008353399985935539,49.6266736999969,2.2311464000085834,20,2,18,14597136,3243808,810952,18651896,16.5003648904945,True,1.0,0
12,0.6228,4.925563189697265,0.00010679999832063913,5.43576409999514,40.429621599963866,1.4893468999653123,0.002398099983111024,0.00693239999236539,49.83245700004045,2.242931227768875,20,2,18,14597136,3243808,810952,18651896,18.092552565237852,True,1.0,0
13,0.6348,5.2458330841064456,0.00010980002116411924,5.500812599959318,41.372049500001594,1.3692695999634452,0.0023655000259168446,0.006810299993958324,50.69178049999755,2.2952782999944046,20,2,18,14597136,3243808,810952,18651896,15.589874336478966,True,1.0,0
14,0.4954,11.600190643310548,0.00010330002987757325,5.421904899994843,40.677557999966666,1.4895622999756597,0.0024192999699153006,0.00690279999980703,50.00728789996356,2.2567165222232384,20,2,18,14597136,3243808,810952,18651896,16.02711508433929,True,1.0,0
