round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.0951,15540.1649796875,8.999998681247234e-05,6.709881599992514,37.99643790000118,1.82509180001216,0.002029599971137941,0.009768499992787838,48.798543700017035,2.1078978111133133,20,2,18,14597136,3243808,810952,18651896,28.6389013326872,True,0.1,0
1,0.1031,47009.80394375,8.709996473044157e-05,7.124680900014937,39.853487199987285,1.874203099985607,0.0028369000065140426,0.00828359997831285,51.13249950000318,2.2110132444488246,20,2,18,14597136,3243808,810952,18651896,55.119876136445114,True,0.1,0
2,0.2148,37377.32845625,0.0001002000062726438,6.8187462000059895,39.85857480001869,1.7252927999943495,0.0027396000223234296,0.009437600034289062,50.70860650000395,2.211241016672122,20,2,18,14597136,3243808,810952,18651896,64.0416873194666,True,0.1,0
3,0.1132,107657.2617625,0.00011199997970834374,6.84335459995782,41.68947250000201,1.8246380999917164,0.0028867999790236354,0.012664999987464398,52.909891100018285,2.3129731611180535,20,2,18,14597136,3243808,810952,18651896,57.6365699160936,True,0.1,0
4,0.1474,144843.323075,0.00012310000602155924,7.043949500017334,40.66024340002332,1.8620516000082716,0.0026418999768793583,0.007856499985791743,52.03067080001347,2.25579285000438,20,2,18,14597136,3243808,810952,18651896,70.97077229870114,True,0.1,0
5,0.1611,163443.917125,9.819999104365706e-05,7.085768099990673,38.35458739998285,1.9352189999772236,0.0026085000135935843,0.010828199971001595,49.68146420002449,2.127668455550318,20,2,18,14597136,3243808,810952,18651896,69.0323729838473,True,0.1,0
6,0.2362,205237.89005,0.0001037000329233706,7.056689099990763,39.72014319995651,1.7495114000048488,0.0028224000125192106,0.011833699943963438,50.8927255999879,2.2035793277803655,20,2,18,14597136,3243808,810952,18651896,62.6664117308281,True,0.1,0
7,0.173,282818.339,9.129999671131372e-05,7.280251299962401,40.36212090001209,1.910047499986831,0.002565300033893436,0.009618999960366637,51.983178100024816,2.2392318055628695,20,2,18,14597136,3243808,810952,18651896,62.65442966258886,True,0.1,0
8,0.1592,203194.637375,0.0001365999924018979,6.854969299980439,37.69070839998312,1.9493630000506528,0.0029198999982327223,0.018576000002212822,48.93513589998474,2.090842966672628,20,2,18,14597136,3243808,810952,18651896,66.70317496049319,True,0.1,0
9,0.1707,451483.63075,0.00017090002074837685,7.171922000008635,38.377692400012165,1.7519553999882191,0.0025317000108771026,0.008123300038278103,49.6754030000302,2.1289342444441797,20,2,18,14597136,3243808,810952,18651896,61.70670568898878,True,0.1,0
10,0.1972,301875.7005,0.00011639995500445366,7.2437406000099145,39.271289700001944,1.8505097000161186,0.002688599983230233,0.007946599973365664,50.71751580003183,2.178600233332771,20,2,18,14597136,3243808,810952,18651896,68.25894371395238,True,0.1,0
11,0.1156,668340.819,0.0001004999503493309,7.200043700053357,39.214627200039104,1.3312256999779493,0.0024492000229656696,0.006593500031158328,50.17833480000263,2.175462761111299,20,2,18,14597136,3243808,810952,18651896,62.67663762071845,True,0.1,0
12,0.1694,556768.76815,0.00010400003520771861,5.285128299961798,39.66149939998286,1.4861069999751635,0.00234990002354607,0.007149700017180294,48.83825329999672,2.2003175888870223,20,2,18,14597136,3243808,810952,18651896,79.08363997653359,True,0.1,0
13,0.1784,708529.3948,0.00010040000779554248,5.36410160001833,40.49482869997155,1.3478293999796733,0.0024290999863296747,0.007453300000634044,49.57467679999536,2.2466013777787643,20,2,18,14597136,3243808,810952,18651896,62.38711274098341,True,0.1,0
14,0.2081,487838.4241,9.039998985826969e-05,5.455190900014713,39.6967015999835,1.4436267000273801,0.002424999955110252,0.008322799985762686,48.98868180002319,2.2023350888824402,20,2,18,14597136,3243808,810952,18651896,61.98851911740242,True,0.1,0
