round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.8261,1.0569222455978393,0.00018209998961538076,20.223317299969494,143.58013060002122,3.898526299977675,0.005690000019967556,0.010140399972442538,175.63270650000777,7.170800085001974,20,0,20,16219040,3243808,810952,20273800,31.953662081641173,True,0.0,0
1,0.9165,0.29904144287109374,0.00016739999409765005,20.313834800035693,144.31753940001363,4.168196499987971,0.0077443000045605,0.011084600002504885,176.81770879996475,7.207663354999386,20,0,20,16219040,3243808,810952,20273800,23.69499234040818,True,0.0,0
2,0.945,0.17843633161187172,0.00024530000519007444,19.935629899962805,143.95082249998813,4.29487339995103,0.008201799995731562,0.010882799979299307,176.33873210003367,7.189393480002764,20,0,20,16219040,3243808,810952,20273800,15.276722851723761,True,0.0,0
3,0.9561,0.13527866104245187,0.00020629999926313758,19.85598029999528,142.36588590004249,4.048477999982424,0.00784209999255836,0.012702200037892908,174.31057420000434,7.110069864991237,20,0,20,16219040,3243808,810952,20273800,12.17173047316677,True,0.0,0
4,0.9674,0.10772170860767365,0.00019230000907555223,19.57184640003834,2770.8457788000233,1.249090299999807,0.002469700004439801,0.004700700053945184,2794.3334030999686,138.53522625499463,20,0,20,16219040,3243808,810952,20273800,10.618220232450717,True,0.0,0
5,0.9713,0.09010903960391879,0.00010219996329396963,6.02923099999316,44.75647389999358,1.2937901000259444,0.002534199971705675,0.0038015000172890723,54.44061580003472,2.23464409999724,20,0,20,16219040,3243808,810952,20273800,9.250393034290685,True,0.0,0
6,0.9734,0.07875919373556972,9.389995830133557e-05,5.8945791000151075,41.929803899955004,1.1892089999746531,0.0029160999692976475,0.004324199981056154,51.33681870001601,2.093474745005369,20,0,20,16219040,3243808,810952,20273800,8.497751107979045,True,0.0,0
7,0.977,0.06964928373340518,9.640003554522991e-05,5.735962399980053,42.058783199987374,1.079763300018385,0.0025459000025875866,0.004678600002080202,51.123312500014435,2.100033665006049,20,0,20,16219040,3243808,810952,20273800,7.984444650443629,True,0.0,0
8,0.9779,0.06352090837676078,0.00011059996904805303,5.7383322000387125,41.89135209994856,1.1138941000099294,0.0032015000469982624,0.0034642000100575387,51.09189859998878,2.091694374999497,20,0,20,16219040,3243808,810952,20273800,7.390253607954395,True,0.0,0
9,0.9803,0.05828276233766228,8.450000314041972e-05,5.636838199978229,119.28902580001159,3.7996316000353545,0.007242400024551898,0.00950159999774769,136.5782254000078,5.957406529999571,20,0,20,16219040,3243808,810952,20273800,7.095225396480714,True,0.0,0
10,0.9821,0.05411684063295834,0.00020900001982226968,19.325132100027986,143.15984829998342,3.9937524999841116,0.00795910001033917,0.012277100002393126,174.7251028000028,7.150013249999029,20,0,20,16219040,3243808,810952,20273800,6.836857623214616,True,0.0,0
11,0.9834,0.04997709691352211,0.00021790002938359976,19.43930020002881,147.99017579999054,4.253008000028785,0.008297499967738986,0.012526299979072064,179.74127170001157,7.391744929997367,20,0,20,16219040,3243808,810952,20273800,6.60325444064138,True,0.0,0
12,0.9838,0.04768449384621345,0.00019480002811178565,20.080735700030345,145.31627309997566,4.209560500050429,0.009141200047452003,0.011889400018844754,177.61022689996753,7.257226100002299,20,0,20,16219040,3243808,810952,20273800,6.429706260481584,True,0.0,0
13,0.9836,0.04769443462186027,0.00019290001364424825,20.19024529994931,139.58906750002643,4.2299577000085264,0.00791929999832064,0.01177280000410974,172.07428180001443,6.970975039995392,20,0,20,16219040,3243808,810952,20273800,6.31563506028664,True,0.0,0
14,0.9851,0.04413336637231987,0.00021809997269883752,20.2641261999961,144.02350770001067,3.9886559000005946,0.011102600023150444,0.013154099986422807,176.6273124999716,7.190437909989851,20,0,20,16219040,3243808,810952,20273800,6.221718313560503,True,0.0,0
