round_idx,test_accuracy,test_loss,phase1_time,phase2_time,phase3_time,phase4_time,phase5_time,phase6_time,round_time,avg_train_time,num_selected,num_dropped,n_active,vehicle_to_rsu_bytes,rsu_to_coord_bytes,coord_to_server_bytes,total_comm_bytes,agg_norm,dropout_recovery_success,dp_epsilon,projection_dim
0,0.0911,2.3024323432922364,8.929998148232698e-05,5.22339539998211,39.629362800042145,1.3699087999993935,0.0018746000132523477,0.1491387999849394,48.593913099961355,2.1984783611066328,20,2,18,14597136,3243808,810952,18651896,32.951595290203606,True,0.0,64
1,0.0911,2.3024323432922364,0.00010959996143355966,5.172577799996361,39.70258990000002,1.4068269999697804,0.0025852000107988715,0.00781710003502667,48.506538500019815,2.2025987333456416,20,2,18,14597136,3243808,810952,18651896,33.02892891635336,True,0.0,64
2,0.0911,2.3024323432922364,9.579997276887298e-05,5.031054400024004,39.81674409995321,1.3517609999980778,0.002306499984115362,0.006971099996007979,48.486555100011174,2.2089390444355863,20,2,18,14597136,3243808,810952,18651896,33.91902033048516,True,0.0,64
3,0.0911,2.3024323432922364,9.74999857135117e-05,5.123952800000552,41.69864940003026,1.3018424999900162,0.002665800042450428,0.008088799950201064,50.38132470002165,2.313443572224868,20,2,18,14597136,3243808,810952,18651896,34.54325578664607,True,0.0,64
4,0.0911,2.3024323432922364,0.00011939997784793377,5.077376600005664,40.105669200012926,1.3840120999957435,0.002549599972553551,0.007988500001374632,48.816744399955496,2.224901533329911,20,2,18,14597136,3243808,810952,18651896,33.46445806684788,True,0.0,64
5,0.0911,2.3024323432922364,9.699998190626502e-05,5.153028700035065,38.0527604999952,1.3706451000180095,0.002457799972034991,0.006810799997765571,46.82645049999701,2.110897266668164,20,2,18,14597136,3243808,810952,18651896,33.03056817244611,True,0.0,64
6,0.0911,2.3024323432922364,0.00013240001862868667,5.112374800024554,40.17005449999124,1.2908898000023328,0.0028627999708987772,0.007567099994048476,48.82380000001285,2.2284960611044276,20,2,18,14597136,3243808,810952,18651896,33.2086879041241,True,0.0,64
7,0.0911,2.3024323432922364,0.00010379997547715902,5.09014120005304,40.067230500048026,1.3898216999950819,0.0024262999650090933,0.007542400038801134,48.80241979996208,2.222761383335132,20,2,18,14597136,3243808,810952,18651896,33.11903486667477,True,0.0,64
8,0.0911,2.3024323432922364,0.00010299996938556433,5.078183500037994,37.74596390000079,1.3768603999633342,0.002360899990890175,0.007396100030746311,46.462916999997105,2.093842772213975,20,2,18,14597136,3243808,810952,18651896,32.33185259173357,True,0.0,64
9,0.0911,2.3024323432922364,0.00011339999036863446,5.070077600015793,38.462081799982116,1.281103300047107,0.0024344000266864896,0.014619999972637743,47.10662860004231,2.133725466659396,20,2,18,14597136,3243808,810952,18651896,32.51097838613022,True,0.0,64
10,0.0911,2.3024323432922364,0.00010649999603629112,5.411235800012946,39.48644830001285,1.3201282999943942,0.0024154999991878867,0.007328300038352609,48.47938380000414,2.1904779055621475,20,2,18,14597136,3243808,810952,18651896,32.91810111917598,True,0.0,64
11,0.0911,2.3024323432922364,8.720002369955182e-05,5.080502400000114,39.108538900036365,1.29329990001861,0.0023163000005297363,0.007746799965389073,47.77199360000668,2.169494311111824,20,2,18,14597136,3243808,810952,18651896,32.64981692920005,True,0.0,64
12,0.0911,2.3024323432922364,8.219998562708497e-05,5.033038099994883,40.319241199991666,1.4125328999944031,0.00286100001540035,0.00734579999698326,49.0609805000131,2.236757900009656,20,2,18,14597136,3243808,810952,18651896,33.00031743091656,True,0.0,64
13,0.0911,2.3024323432922364,9.980000322684646e-05,5.170074200024828,40.53793349995976,1.3072410999448039,0.0027171000256203115,0.007690300000831485,49.252994399983436,2.2489677166708537,20,2,18,14597136,3243808,810952,18651896,33.09495263116703,True,0.0,64
14,0.0911,2.3024323432922364,8.549995254725218e-05,5.056872000044677,39.29674659995362,1.4068378999945708,0.0022793999523855746,0.008151700021699071,47.99764040001901,2.1800204722159027,20,2,18,14597136,3243808,810952,18651896,33.2978091524499,True,0.0,64
